CNAME,en_name,DCCA_TYPE1,DCCA_TYPE2,DCCA_TYPE3,Color_type,sum
沙田區,Sha Tin,247,201,121,1,569
屯門區,Tuen Mun,277,140,0,1,417
東區,Eastern,130,232,102,2,464
油尖旺區,Yau Tsim Mong,267,292,57,2,616
葵青區,Kwai Tsing,350,126,19,1,495
九龍城區,Kowloon City,162,196,155,2,513
觀塘區,Kwun Tong,569,121,53,1,743
北區,North,120,68,4,1,192
灣仔區,Wan Chai,0,189,141,2,330
黃大仙區,Wong Tai Sin,541,255,0,1,796
南區,Southern,64,69,66,2,199
西貢區,Sai Kung,81,191,88,2,360
中西區,Central & Western,46,137,141,3,324
元朗區,Yuen Long,235,163,40,1,438
深水埗區,Sham Shui Po,376,75,61,1,512
大埔區,Tai Po,93,109,36,2,238
荃灣區,Tsuen Wan,109,70,45,1,224
離島區,Island,45,83,59,2,187